abakaweishuangfuding 阿巴卡韦双夫定
jingzhuijianpanjihuanbanjisuibing 颈椎间盘疾患伴脊髓病
jingzhuijianpanjihuanbanyoushenjinggenbing 颈椎间盘疾患伴有神经根病
jingzhuijianpantuochu 颈椎间盘脱出
jingzhuijiehe 颈椎结核
jingzhuikaifangxingguzhe 颈椎开放性骨折
jingzhuironghezonghezheng 颈椎融合综合症
jingzhuituowei 颈椎脱位
jingzhuobing 精浊病
jingzijishu 精子计数
jingzijingyeyichang 精子精液异常
jingzinangzhong 精子囊肿
jingziquefa 精子缺乏
jingzongjingmailiu 颈总静脉瘤
jiubingshangyinxuhuoshangyanzheng 久病伤阴虚火上炎证
jiubingshangyinzheng 久病伤阴证
jiudigeli 就地隔离
jiudizhiliao 就地治疗
jiujiehejunsu 旧结核菌素
jiujingeli 就近隔离
jiujingkangfu 酒精康复
jiujinglanyongjiazushi 酒精滥用家族史
jiujingxiaodu 酒精消毒
jiujingxingcaopibing 酒精性糙皮病
jiujingxingdianxianfazuo 酒精性癫痫发作
jiujingxingganshuaijie 酒精性肝衰竭
jiujingxingganshuaijiebanyouganhunmi 酒精性肝衰竭伴有肝昏迷
jiujingxinggansunhuai 酒精性肝损坏
jiujingxingganxianweihua 酒精性肝纤维化
jiujingxingganyan 酒精性肝炎
jiujingxingganyinghua 酒精性肝硬化
jiujingxingjibing 酒精性肌病
jiujingxingjingshenbing 酒精性精神病
jiujingxingjiujingzhongduxingjieduanjiejiuzonghezheng 酒精性酒精中毒性戒断戒酒综合症
jiujingxingmanxingyixianyan 酒精性慢性胰腺炎
jiujingxingpiyan 酒精性皮炎
jiujingxingweiyan 酒精性胃炎
jiujingxingxiaonaobianxing 酒精性小脑变性
jiujingxingxiaonaogongjishitiao 酒精性小脑共济失调
jiujingxingyiwangzonghezheng 酒精性遗忘综合征
jiujingxingzhifanggan 酒精性脂肪肝
jiujingxingzhongduxingxinjibing 酒精性中毒性心肌病
jiujingzhongdu 酒精中毒
jiujingzhongdudeteshushaixuanjiancha 酒精中毒的特殊筛选检查
jiujingzhongduxingjingshenbing 酒精中毒性精神病
jiujingzhongduxingnaobing 酒精中毒性脑病
jiujingzhongduxingxiaonaogongjishitiao 酒精中毒性小脑共济失调
jiujingzhongduxingzhouweishenjingbing 酒精中毒性周围神经病
jiujingzhongduyitubuquedingde 酒精中毒意图不确定的
jiujingzhongduzhijingshenzhangai 酒精中毒致精神障碍
jiujuan 九卷
jiulanyongdezixunhejiandu 酒滥用的咨询和监督
jiulongbing 久聋病
jiuyeqianjieshoudejiancha 就业前接受的检查
jiuyinzonghezheng 酒瘾综合症
jiuzhabi 酒渣鼻
jiuzhabibing 酒齄鼻病
jiuzhabiyangjiehezhen 酒渣鼻样结核疹
jiuzhayangjiehezhen 酒渣样结核疹
jiuzhengxingdaxueguancuowei 纠正性大血管错位
jubing 聚病
jububanhenxingtuofa 局部瘢痕性脱发
jubufanying 局部反应
jubufeipang 局部肥胖
jubuganran 局部感染
jubuguomin 局部过敏
jubulemiyaermabi 居布勒米亚尔麻痹
jubuliuxing 局部流行
jubumazuiyaozhongdu 局部麻醉药中毒
jubumianyi 局部免疫
jubunongzhongqiekai 局部脓肿切开
jubuquancengweisuo 局部全层萎缩
jubushoulianhejubuquwuji 局部收敛和局部去污剂
jubuxinbaozhanlian 局部心包粘连
jubuxingpifusongchizheng 局部性皮肤松弛症
jubuyatuo 局部牙托
jubuyinshangjiezhishu 局部龈上洁治术
jubuyinxiaguazhishu 局部龈下刮治术
jubuyingyongdeyakeyaowu 局部应用的牙科药物
jubuzhendong 局部振动
jubuzhijizhongdu 局部制剂中毒
jubuzhongzhangzhongkuaihezhongwu 局部肿胀肿块和肿物
juchi 巨齿
juchiyuanliduan 锯齿缘离断
juchiyuannangzhong 锯齿缘囊肿
juchun 巨唇
judaeryinqidegengzuxingfenmian 巨大儿引起的梗阻性分娩
judajianruishiyou 巨大尖锐湿疣
judaruanxiagan 巨大软下疳
judaxunmazhen 巨大荨麻疹
juer 巨耳
jufeirendainiushanghelaosun 距腓韧带扭伤和劳损
jugu 距骨
juguduokaixingtuowei 距骨哆开性脱位
juguguzhe 距骨骨折
jugujingguzhe 距骨颈骨折
jugukaifangxingguzhe 距骨开放性骨折
juguliangxingzhongliu 距骨良性肿瘤
jugutiguzhe 距骨体骨折
juhexibaoxingbaixuebing 巨核细胞性白血病
juhexibaozaishengbuliang 巨核细胞再生不良
juhexingcuochuang 聚合性痤疮
juhongxibaoxinggusuizengzhi 巨红细胞性骨髓增殖
juhuixingcuochuang 聚会性痤疮
jujiageli 居家隔离
jujiechangfeixiershipulongshibinghoutianxing 巨结肠非希尔施普龙氏病后天性
jujuejijiehe 咀嚼肌结核
jujuetong 咀嚼痛
jukou 巨口
jukouchuang 巨口疮
julietong 剧烈痛
julietoutong 剧烈头痛
julvyixi 聚氯乙烯
jumaxia 局麻下
jumaxiabachu 局麻下拔除
jumaxiaqiekaizaogupiyatingchu 局麻下切开凿骨劈牙挺出
jumaxiaquguansui 局麻下去冠髓
juminjiankangdangan 居民健康档案
junao 巨脑
junaohui 巨脑回
juqiudanbaixuezhengxingzidian 巨球蛋白血症性紫癜
jurenzhengchuitixing 巨人症垂体性
juruzheng 巨乳症
jusanghedanmo 沮丧和淡漠
jushe 巨舌
jushihunmi 举世昏迷
jushixibao 巨噬细胞
jushixibaoxitong 巨噬细胞系统
jusuosuanxin 聚羧酸锌
jusuosuanxinshuimenting 聚羧酸锌水门汀
jutanglei 聚糖类
jutou 巨头
juxibao 巨细胞
juxibaobaohantibing 巨细胞包涵体病
juxibaobaohantibingduxiedaizhe 巨细胞包涵体病毒携带者
juxibaobaohantibingduxingganyan 巨细胞包涵体病毒性肝炎
juxibaobingdu 巨细胞病毒
juxibaobingduganran 巨细胞病毒感染
juxibaobingduganrandebingduxingganyanbanganhunmi 巨细胞病毒感染的病毒性肝炎伴肝昏迷
juxibaobingduxingdanhexibaozengduozheng 巨细胞病毒性单核细胞增多症
juxibaobingduxingfeiyan 巨细胞病毒性肺炎
juxibaobingduxingganyan 巨细胞病毒性肝炎
juxibaobingduxingnaoyanjisuiyanhuonaojisuiyan 巨细胞病毒性脑炎脊髓炎或脑脊髓炎
juxibaobingduxingyixianyan 巨细胞病毒性胰腺炎
juxibaodongmaiyan 巨细胞动脉炎
juxibaodongmaiyanbanyoufengshixingduojitong 巨细胞动脉炎伴有风湿性多肌痛
juxibaodongmaiyanniedongmaiyan 巨细胞动脉炎颞动脉炎
juxibaofeiyan 巨细胞肺炎
juxibaorouyazhong 巨细胞肉芽肿
juxibaoxingjiazhuangxianyan 巨细胞性甲状腺炎
juxibaoyinliu 巨细胞龈瘤
juxianxingbotuoxingsheyan 局限性剥脱性舌炎
juxianxingduohanzheng 局限性多汗症
juxianxingduomaozheng 局限性多毛症
juxianxingfeiyan 局限性肺炎
juxianxingfumoyan 局限性腹膜炎
juxianxingguzhishusong 局限性骨质疏松
juxianxingguanjiebing 局限性关节病
juxianxinghongbanlangchuang 局限性红斑狼疮
juxianxingjiangyexingnaomoyan 局限性浆液性脑膜炎
juxianxingjiedizuzhijihuan 局限性结缔组织疾患
juxianxinglinbajiezengda 局限性淋巴结增大
juxianxingnaomoyan 局限性脑膜炎
juxianxingnaoyan 局限性脑炎
juxianxingpifusongchizheng 局限性皮肤松弛症
juxianxingquexuexingchangbing 局限性缺血性肠病
juxianxingrexunmazhen 局限性热荨麻疹
juxianxingsaoyangbing 局限性瘙痒病
juxianxingshenjingxingpiyanmanxingdanchunxingtaixuan 局限性神经性皮炎慢性单纯性苔癣
juxianxingyingpibing 局限性硬皮病
juxianxingyingyangbuliangxingdapaoxingbiaopisongjiezheng 局限性营养不良型大疱性表皮松解症
juxianxingzhangzhijiaopizheng 局限性掌跖角皮症
juxianyujiatingdepinxingzhangai 局限于家庭的品行障碍
juxianyupifudemaiguanyan 局限于皮肤的脉管炎
juxingzhangbing 聚星障病
juyan 巨眼
juyoubiyunzhuangzhizigongnei 具有避孕装置子宫内
juyoubiaojiyiransezhidegeti 具有标记异染色质的个体
juyoubuyushiderenshenjiandu 具有不育史的妊娠监督
juyouchangranseticuiruobuweidegeti 具有常染色体脆弱部位的个体
juyouduotaichanzhederenshenjiandu 具有多胎产者的妊娠监督
juyoufuqiudanbaixuezhengdejianjinhuaisixinghuangserouyazhong 具有副球蛋白血症的渐进坏死性黄色肉芽肿
juyougongnengxingzhiruwu 具有功能性植入物
juyouhongxibaoxingpinxue 巨幼红细胞性贫血
juyoujinianqingchuyunfuderenshenjiandu 具有极年轻初孕妇的妊娠监督
juyouliuchanshiderenshenjiandu 具有流产史的妊娠监督
juyouputaotaishiderenshen 具有葡萄胎史的妊娠
juyouqitabuliangchankeshiderenshen 具有其它不良产科史的妊娠
juyouqitaguhejiandezhiruwu 具有其他骨和腱的植入物
juyouqitatezhizhuangzhi 具有其他特指装置
juyouquefachanqianyiliaozhaogubingshizhederenshenjiandu 具有缺乏产前医疗照顾病史者的妊娠监督
juyourengongjiayazhuangzhiwanquanbufen 具有人工假牙装置完全部分
juyourongmaomoshangpixingjibingshiderenshen 具有绒毛膜上皮性疾病史的妊娠
juyousichanshihuoxinshengersiwangshiderenshenjiandu 具有死产史或新生儿死亡史的妊娠监督
juyoutaierjixingshiderenshen 具有胎儿畸形史的妊娠
juyoutaierqitajibingshiderenshen 具有胎儿其他疾病史的妊娠
juyoutaisigongneishiderenshen 具有胎死宫内史的妊娠
juyouwaibuzhutingqi 具有外部助听器
juyouxibaoyichuanxingpinxue 巨幼细胞遗传性贫血
juyouxiantianyuxingershiderenshenjiandu 具有先天愚型儿史的妊娠监督
juyouxinshengerrongxueshiderenshen 具有新生儿溶血史的妊娠
juyouyanjinghejiechujing 具有眼镜和接触镜
juyouyiweirenshenshiderenshen 具有异位妊娠史的妊娠
juzaoxingdianxian 局灶性癫痫
juzaoxingfeiqizhong 局灶性肺气肿
juzaoxingjieduanxingzengzhixingshenxiaoqiushenyan 局灶性节段性增殖性肾小球肾炎
juzaoxingmailuomoshiwangmoyan 局灶性脉络膜视网膜炎
juzaoxingnaoyan 局灶性脑炎
juzaoxingshenxiaoqiushenyan 局灶性肾小球肾炎
juzaoxingshenyan 局灶性肾炎
juzaoxingshenyanzonghezheng 局灶性肾炎综合征
juzaoxingzhenpifayubuliang 局灶性真皮发育不良
juzaoyinghuaxingshenxiaoqiushenyan 局灶硬化性肾小球肾炎
juzaozhenpifayubuquan 局灶真皮发育不全
juzhi 巨痣
juzhichang 巨直肠
juzhizhipiancefeidajijietizuzhizhi 巨指趾偏侧肥大及结蹄组织痣
juzhizhizonghezheng 巨指趾综合征
juzhuhuanjingbulixiangdewenti 居住环境不理想的问题
juzhuzheliyiyuanhuoqitayiliaojigoutaiyuandewenti 居住者离医院或其他医疗机构太远的问题
juanfazonghezheng 卷发综合征
juanshui 倦睡
juebing 厥病
jueduiqiqingguangyan 绝对期青光眼
jueduisushizhedepinxue 绝对素食者的贫血
juejinghouguzhishusong 绝经后骨质疏松
juejinghouguzhishusongbanbinglixingguzhe 绝经后骨质疏松伴病理性骨折
juejingqichuxie 绝经期出血
juejingqihouchuxie 绝经期后出血
juejingqijihuan 绝经期疾患
juejingqixuanyun 绝经期眩晕
juejingqianhouzhubing 绝经前后诸病
juejingqianqichuxie 绝经前期出血
jueshenyibi 厥身已毙
jueshi 绝食
juetuobing 厥脱病
jueyinbing 厥阴病
jueyinjuezheng 厥阴厥证
jueyinouhuizheng 厥阴呕哕证
jueyinshangrexiahanzheng 厥阴上热下寒证
jueyinxializheng 厥阴下利证
jueyinzheng 厥阴证
jueyu 绝育
jueyushuhoufutong 绝育术后腹痛
junban 菌斑
junduidechangguiyibanxingjiankangchati 军队的常规一般性健康查体
junlihunheganran 菌痢混合感染
junlie 皲裂
junluo 菌落
junluozongshu 菌落总数
junpiliepifu 皲皮裂皮肤
junqiu 菌球
junqunshitiao 菌群失调
juntikangyuan 菌体抗原
juntuanbing 军团病
juntuanfeiyan 军团肺炎
juntuanjun 军团菌
juntuanjunbing 军团菌病
juntuanjunganran 军团菌感染
junxianghuodongxinshenbujiaozheng 君相火动心肾不交证
junxianghuodongzheng 君相火动证
junxianghuowangzheng 君相火旺证
junxuezheng 菌血症
junzhubianyi 菌株变异
kaboxijishishuidouyangzhen 卡波西济氏水痘样疹
kaboxirouliu 卡波西肉瘤
kadanjie 卡氮芥
kaensisaierzonghezheng 卡恩斯塞尔综合征
kaermanshizonghezheng 卡尔曼氏综合征
kaertareneishizonghezheng 卡尔塔热内氏综合征
kaerweibing 卡尔韦病
kafeiban 咖啡斑
kafeifei 咖啡肺
kafeisewu 咖啡色物
kafeiyinyiwaizhongdu 咖啡因意外中毒
kahen 卡痕
kahenlv 卡痕率
kahuanla 卡环蜡
kahuanqian 卡环钳
kahuantaisong 卡环太松
kajiemiao 卡介苗
kajiesu 卡介素
kalabazhong 卡拉巴肿
kalebing 卡勒病
kaliwengbing 卡里翁病
kamaxipingzhongdu 卡马西平中毒
kamaxipingzisha 卡马西平自杀
kamuladiengeermanzonghezheng 卡穆拉蒂恩格尔曼综合征
kanameisu 卡那霉素
kanameisuzhongdu 卡那霉素中毒
kapulanzonghezheng 卡普兰综合征
karuisima 卡瑞斯玛
kashifeinangchong 卡氏肺囊虫
kashifeinangchongfeiyan 卡氏肺囊虫肺炎
kashifeinangchongxingfeiyan 卡氏肺囊虫性肺炎
kasiqinbeikebing 卡斯钦贝克病
katageneisanlianzheng 卡塔格内三联征
kataqi 卡他期 卡它期
kataxingjiaomoyan 卡他性角膜炎
kataxingjiemoyan 卡他性结膜炎
kataxingyinyan 卡它性龈炎
kataxingzhongeryan 卡他性中耳炎
katazhengzhuang 卡它症状
kateyazhoubaorouluoxuantihuiguire 卡特亚洲包柔螺旋体回归热
kaxie 咯血 喀血
kaxiebing 咯血病
kazeneifushibing 卡泽内夫氏病
kazhengguanli 卡证管理
kazhengxiangfu 卡证相符
kaiernigezheng 凯尔尼格征
kaifang 开放
kaifangxingbishangkou 开放性鼻伤口
kaifangxingbinguguzhe 开放性髌骨骨折
kaifangxingfeineiyiwu 开放性肺内异物
kaifangxingfeipolie 开放性肺破裂
kaifangxingfumohouxuezhong 开放性腹膜后血肿
kaifangxingganpolie 开放性肝破裂
kaifangxinggepolie 开放性膈破裂
kaifangxingjianheshangbiduochukaifangxingshangkou 开放性肩和上臂多处开放性伤口
kaifangxingjiechangpolie 开放性结肠破裂
kaifangxingjingbushangkou 开放性颈部伤口
kaifangxingjingzhuiguzhebanjietan 开放性颈椎骨折伴截瘫
kaifangxingkongchangpolie 开放性空肠破裂
kaifangxinglunaosunshanghouyizheng 开放性颅脑损伤后遗症
kaifangxingluneisunshang 开放性颅内损伤
kaifangxingluneiyiwu 开放性颅内异物
kaifangxingnaocuoshang 开放性脑挫伤
kaifangxingpangguangpolie 开放性膀胱破裂
kaifangxingpipolie 开放性脾破裂
kaifangxingqiguanduanlie 开放性气管断裂
kaifangxingqiniaoguan 开放性脐尿管
kaifangxingqixiong 开放性气胸
kaifangxingqiaguguzhe 开放性髂骨骨折
kaifangxingshenpolie 开放性肾破裂
kaifangxingshierzhichangpolie 开放性十二指肠破裂
kaifangxingshuniaoguanduanlie 开放性输尿管断裂
kaifangxingtesaimeitemoyanqiuchuanruxingshangkou 开放性特塞梅特膜眼球穿入性伤口
kaifangxingweipolie 开放性胃破裂
kaifangxingxiongfusunshang 开放性胸腹损伤
kaifangxingxiongzhuiguzhebanjietan 开放性胸椎骨折伴截瘫
kaifangxingyaozhuiguzhebanjisuisunhaijietan 开放性腰椎骨折伴脊髓损害截瘫
kaijiaoxingqingguangyan 开角型青光眼
kailazengzhixinghongbanyuanweiai 凯拉增殖性红斑原位癌
kailipeitesenzonghezheng 凯利佩特森综合征
kaizefulaisheerhuanjiaomo 凯泽弗莱舍尔环角膜
kankeshibing 坎科氏病
kanmeiershibing 坎梅耳氏病
kannazonghezheng 坎纳综合征
kansasifenzhiganjun 堪萨斯分枝杆菌
kansasifenzhiganjundepifuganran 堪萨斯分枝杆菌的皮肤感染
kantou 砍头
kangbibaozijunshu 糠秕孢子菌属
kangbibaozijunxingmaonangyan 糠秕孢子菌性毛囊炎
kangbibaozixingmaonangyan 糠秕孢子性毛囊炎
kangbimalasejun 糠秕马拉色菌
kangbingdu 抗病毒
kangbingduyaowu 抗病毒药物
kangbingduyaozhongdu 抗病毒药中毒
kangboxingdanbaijianzhixianweikangti 抗波形蛋白间质纤维抗体
kangcuxingxianjisuyaokangcijisuyaokangxiongjisuyaozhongdu 抗促性腺激素药抗雌激素药抗雄激素药中毒
kangdanjianzhimeijizhongdu 抗胆碱酯酶剂中毒
kangdianxiankangjingjueleiyaowuzhongdu 抗癫痫抗惊厥类药物中毒
kangdusu 抗毒素
kangenshibing 康恩氏病
kangfucuoshigerenshi 康复措施个人史
kangfuzhiliao 康复治疗
kangganmaoyaozhongdu 抗感冒药中毒
kangganran 抗感染
kangganranyaozhongdu 抗感染药中毒
kanggaozhixuezhenghekangdongmaiyinghuayaozhongdu 抗高脂血症和抗动脉硬化药中毒
kangguominyaohezhituyaozhongdu 抗过敏药和止吐药中毒
kanghekangti 抗核抗体
kanghemuzhikangti 抗核母质抗体
kanghuaixuesuan 抗坏血酸
kanghuaixuesuanquefa 抗坏血酸缺乏
kangjiazhuangxianyaowuyinqidejiazhuangxianjinengjiantui 抗甲状腺药物引起的甲状腺机能减退
kangjiazhuangxianyaozhongdu 抗甲状腺药中毒
kangjiehezhiliao 抗结核治疗
kangjingmaiquzhangyaozhongdubaokuoyinghuaji 抗静脉曲张药中毒包括硬化剂
kangjun 抗菌
kangjunsu 抗菌素
kangjunsunuejiheduiqitaxueyeyuanshengwuyouzuoyongdeyaozhongdu 抗菌素疟疾和对其他血液原生物有作用的药中毒
kangjunyaowu 抗菌药物
kangjunzhiliao 抗菌治疗
kangkuangquanbingmianyiqiudanbai 抗狂犬病免疫球蛋白
kangkuangquanbingxueqing 抗狂犬病血清
kangleifengshixingguanjieyanxiangguanhekangyuankangti 抗类风湿性关节炎相关核抗原抗体
kangliniaojisufenmiyichangzonghezheng 抗利尿激素分泌异常综合征
kanglinbaxibaoxueqing 抗淋巴细胞血清
kanglinzhi 抗磷脂
kanglinzhikangti 抗磷脂抗体
kanglinzhizonghezheng 抗磷脂综合症
kangluanchaozonghezheng 抗卵巢综合征
kangmeijunxingkangshengsu 抗霉菌性抗生素
kangningjiekangjiweishengsuheqitaningxueyaozhongdu 抗凝拮抗剂维生素和其他凝血药中毒
kangningxuemeizengduo 抗凝血酶增多
kangningxueyaochangqijinqishiyonggerenshi 抗凝血药长期近期使用个人史
kangningxueyaoyiwaizhongdu 抗凝血药意外中毒
kangnueyao 抗疟药
kangnuoeryulikecitibanzhenre 康诺尔于立克次体斑疹热
kangshenshangxiansunengyaowuzhongduyitubuquedingde 抗肾上腺素能药物中毒意图不确定的
kangshengsu 抗生素
kangsuanranse 抗酸染色
kangti 抗体
kangtididu 抗体滴度
kangtididuzenggao 抗体滴度增高
kangtiquefabanyoujiejinzhengchangdemianyiqiudanbaihuobanyougaomianyiqiudanbaixuezheng 抗体缺乏伴有接近正常的免疫球蛋白或伴有高免疫球蛋白血症
kangtiquexianweizhudeqitamianyiquexian 抗体缺陷为主的其他免疫缺陷
kangtiquexianweizhudeweitezhidemianyiquexian 抗体缺陷为主的未特指的免疫缺陷
kangtiquexianzonghezheng 抗体缺陷综合征
kangtishuiping 抗体水平
kangtixiaojia 抗体效价
kangtiyangxing 抗体阳性
kangtiyangzhuanlv 抗体阳转率
kangxinlinzhikangti 抗心磷脂抗体
kangxinlinzhizonghezheng 抗心磷脂综合征
kangxiongjisu 抗雄激素
kangxiuke 抗休克
kangxueqing 抗血清
kangyansong 抗炎松
kangyidanbaimeiquefabingfazhimoyan 抗胰蛋白酶缺乏并发脂膜炎
kangyouyuyaoyiwaizhongdu 抗忧郁药意外中毒
kangyuan 抗原
kangyuanchengdixibao 抗原呈递细胞
kangyuanjiaocha 抗原交叉
kangyuanjuedingcu 抗原决定簇
kangyuankangti 抗原抗体
kangyuankangtifuhewu 抗原抗体复合物
kangyuanxing 抗原性
kangzhen 糠疹
kangzhenchanmabiyaoheqitazhongshushenjingxitongjirouzhangliyizhijizhongdu 抗震颤麻痹药和其他中枢神经系统肌肉张力抑制剂中毒
kangzhuosidiankangti 抗着丝点抗体
kaocibaomailiao 烤瓷包埋料
kaocibaomaiye 烤瓷包埋液
kaocixiufutidezhizuojishu 烤瓷修复体的制作技术
kaocizaosuanyanyinmocai 烤瓷藻酸盐印模材
kaodadeshouhaizhe 拷打的受害者
kaodesongzhongduzhijingshenzhangai 考的松中毒致精神障碍
kaopoxiannangzhong 考珀腺囊肿
kaopoxiannongzhong 考珀腺脓肿
kaoshibujigedewenti 考试不及格的问题
kebasibing 科巴斯病
kebanxingyundongzhangai 刻板性运动障碍
kebianjianjie 可变剪接
kebianxinghongbanjiaohuazheng 可变性红斑角化症
kebianxingtuxinghongbanjiaohuazheng 可变性图形红斑角化症
kebozhihanfutumo 柯伯脂含氟涂膜
kecishibing 科茨氏病
kedaiyinzhongdu 可待因中毒
kedisong 可的松
kedutanzhen 刻度探针
keer 克尔
keerdiqiguan 科尔蒂器官
keerlibing 克尔里病
kefeiershizonghezheng 克费二氏综合征
kegenshizonghezhengjianzhixingjiaomoyanzonghezheng 科根氏综合征间质性角膜炎综合征
kehuduan 客户端
kejiazheng 壳甲症
kejiazonghezheng 壳甲综合征
kekayinyaowuyin 可卡因药物瘾
kekayinzhongdu 可卡因中毒
kekaienzonghezheng 科凯恩综合征
kekedouyou 可可豆油
keketeshuxingliu 科克特殊性瘤
kekeweikesijiemoyan 科克威克斯结膜炎
kelatesijinliu 克拉特斯金瘤
kelaienfeiershizonghezheng 克莱恩费尔氏综合征
kelaineilaiwenzonghezheng 克莱内莱文综合征
kelanfeiertezonghezheng 克兰费尔特综合征
keledingzhongdu 可乐定中毒
keleibaiganjunxingnaomoyan 克雷白杆菌性脑膜炎
keleibaishifeiyanganjunganran 克雷白氏肺炎杆菌感染
keleibaishiganjunganran 克雷白氏杆菌感染
keleibaishiganjunxingbaixuezheng 克雷白氏杆菌性败血症
keleibaishiganjunxingfeiyan 克雷白氏杆菌性肺炎
keleishiguzhe 科雷氏骨折
keligelenajiaerbinghuozonghezheng 克里格勒纳贾尔病或综合征
kelipeiertenaonaweibozonghezheng 克利佩尔特脑纳韦伯综合征
kelishibing 科里氏病
kelisimasibing 克里斯马斯病
kelinmeisu 克林霉素
kelongqingchu 克隆清除
kelongshibing 克隆氏病
kelongwuneng 克隆无能
kelukenbeigesuo 克鲁肯贝格梭
kelukenbogeshiliu 克鲁肯伯格氏瘤
keluzongbing 克鲁宗病
keluodezonghezheng 克洛德综合征
keluokaixianlinbajifaxingexingzhongliu 克洛凯腺淋巴继发性恶性肿瘤
keluokaixianlinbaliangxingzhongliu 克洛凯腺淋巴良性肿瘤
keluoladuopire 科罗拉多蜱热
keluosizonghezheng 克罗斯综合征
keluoyicifeierteyagebubingbanyouchidai 克罗伊茨费尔特雅各布病伴有痴呆
kelvganjun 克吕杆菌
kelvweiliaishibing 克律韦利埃氏病
kelvxieshibing 克律歇氏病
kenengdaozhidezhiyebing 可能导致的职业病
kenixingnaocuzhong 可逆性脑卒中
keningqingguangyan 可凝青光眼
kerefunikefu 科热夫尼科夫
kesakefujingshenbing 科萨科夫精神病
kesaqi 柯萨奇
kesaqibingdu 柯萨奇病毒
kesaqibingduganran 柯萨奇病毒感染
kesaqibingduxing 柯萨奇病毒性
kesaqibingduxingjiemoyan 柯萨奇病毒性结膜炎
kesaqibingduxingnaomoyanjididanaojisui 柯萨奇病毒性脑膜炎基底大脑脊髓
kesaqibingduxingxinbaoyan 柯萨奇病毒性心包炎
kesaqibingduxingxinjiyan 柯萨奇病毒性心肌炎
kesaqibingduxingxinneimoyan 柯萨奇病毒性心内膜炎
kesaqibingduyinqidejixingzhiqiguanyan 柯萨奇病毒引起的急性支气管炎
kesaqibingduzhen 柯萨奇病毒疹
kesaqishizhen 柯萨奇湿疹
keshanbing 克山病
keshiban 柯氏斑
keshizheng 克氏症
keshizhuichong 克氏锥虫
kesitemanbing 科斯特曼病
kesou 咳嗽
kesoubing 咳嗽病
kesouyunjue 咳嗽晕厥
kesouyunjuezonghezheng 咳嗽晕厥综合症
ketiaomozhuizhuangluowenzhongzhiti 可调磨锥状螺纹种植体
ketingbing 克汀病
keweili 壳微粒
kewenji 可闻及
kexialinbajiejiehe 颏下淋巴结结核
kexiamanxinglinbajieyan 颏下慢性淋巴结炎
kexiaquganran 颏下区感染
kexiashisuanxingxibaozengshengxinglinbarouyazhong 颏下嗜酸性细胞增生性淋巴肉芽肿
kexingbing 柯兴病
kexingjianyiwaizhongdu 苛性碱意外中毒
kexingwushaoshang 苛性物烧伤
kexingzonghezheng 柯兴综合征
keyibingren 可疑病人
keyiexingzhongliudeguancha 可疑恶性肿瘤的观察
keyijibingheqingkuangdeguancha 可疑疾病和情况的观察
keyijiehebingdeguancha 可疑结核病的观察
keyijingshenhexingweizhangaideguancha 可疑精神和行为障碍的观察
keyishayan 可疑沙眼
keyisheruwuzhiyinqiduxingxiaoyingdeguancha 可疑摄入物质引起毒性效应的观察
keyishenjingxitongjihuandeguancha 可疑神经系统疾患的观察
keyixinjigengsideguancha 可疑心肌梗死的观察
keyiyaowudeyouhaixiaoyingdeguancha 可疑药物的有害效应的观察
keyizhizhanglisi 可抑制张力丝
keyizhongdudeyouhaixiaoyingguancha 可疑中毒的有害效应观察
kezhaibufenyichi 可摘部分义齿
kezhuangtuguzhe 髁状突骨折
kezhuangtukaifangxingguzhe 髁状突开放性骨折
kezhuangya 壳状牙
kongbuzhengzhuang 恐怖症状
kongchang 空肠
kongchangbianqujunbing 空肠变曲菌病
kongchangchuankongbanfumoyan 空肠穿孔伴腹膜炎
kongchangduanliebankaifangxingshangkou 空肠断裂伴开放性伤口
kongchangexingzhongliu 空肠恶性肿瘤
kongchangjiangmoxialinbaguanliu 空肠浆膜下淋巴管瘤
kongchangpolie 空肠破裂
kongchangqishi 空肠憩室
kongchangqishibubanyouchuankonghuonongzhong 空肠憩室不伴有穿孔或脓肿
kongchangqishiyan 空肠憩室炎
kongchangqishiyanbubanyouchuankonghuonongzhong 空肠憩室炎不伴有穿孔或脓肿
kongchangwanqujun 空肠弯曲菌
kongchangxiantianxingbisuoqueruhexiazhai 空肠先天性闭锁缺如和狭窄
kongchaozonghezheng 空巢综合征
kongdongxing 空洞型
kongdongxingfeijiehe 空洞型肺结核
kongdongxingfeijieheweitijixijunxuehuozuzhixuedezhengshi 空洞型肺结核未提及细菌学或组织学的证实
kongfu 空腹
kongguan 空管
konghuichangjiaojiechuxueguankuozhang 空回肠交界处血管扩张
kongjuqingkuangweizhengshi 恐惧情况未证实
kongjushangshenzheng 恐惧伤肾证
kongjuxingzhenchan 恐惧性震颤
kongpaobingdu 空泡病毒
kongpaodieanzonghezheng 空泡蝶鞍综合症
kongqifeimochuanbo 空气飞沫传播
kongqishuansechuangshangxing 空气栓塞创伤性
kongshuizheng 恐水症
kongtiaohejiashiqifei 空调和加湿器肺
kongtiaojixingfeiyan 空调机性肺炎
kongxinquguhuanzuan 空心取骨环钻
kongyuanxingshiwangmotuoli 孔源性视网膜脱离
kongzhibingqing 控制病情
kongzhichuanranyuan 控制传染源
kongzhicuoshi 控制措施
kongzhiyiqing 控制疫情
kongziyunshengerzhizhizheshangxuezeyazhi 孔子云生而知之者上学则亚之
koubilou 口鼻瘘
kouchi 口吃
kouchibingquchibing 口齿病龋齿病
kouchou 口臭
kouchuang 口疮
kouchuangbing 口疮病
